text,sentiment,source,timestamp
I love this product!,Positive,Twitter,2023-06-15 09:23:14
The service was terrible.,Negative,Yelp Reviews,2023-06-15 11:45:32
This movie is amazing!,Positive,IMDb,2023-06-15 14:10:22
I'm so disappointed with their customer support.,Negative,Online Forum,2023-06-15 17:35:11
Just had the best meal of my life!,Positive,TripAdvisor,2023-06-16 08:50:59
The quality of this product is subpar.,Negative,Amazon Reviews,2023-06-16 10:15:27
I can't stop listening to this song. It's incredible!,Positive,Spotify,2023-06-16 13:40:18
Their website is so user-friendly. Love it!,Positive,Website Testimonial,2023-06-16 16:05:36
I loved the movie! It was fantastic!,Positive,IMDb,2023-07-02 09:12:34
The customer service was terrible.,Negative,Yelp Reviews,2023-07-02 10:45:21
This book made me feel inspired. Highly recommended!,Positive,Goodreads,2023-07-02 12:34:56
I'm extremely disappointed with their product quality.,Negative,Online Store,2023-07-02 15:21:43
Just had the most amazing vacation! I can't wait to go back.,Positive,TripAdvisor,2023-07-02 18:01:23
The food at this restaurant was awful. Never going back again!,Negative,Zomato,2023-07-02 20:45:37
I can't stop listening to this song. It's my new favorite!,Positive,Spotify,2023-07-03 09:17:52
Their website is so confusing and poorly designed.,Negative,Website Review,2023-07-03 11:59:18
I had an incredible experience at the theme park. So much fun!,Positive,Trip Report,2023-07-03 14:40:05
The product arrived damaged. Very disappointed.,Negative,Online Store,2023-07-03 17:25:09
The concert was absolutely breathtaking. Best performance ever!,Positive,Event Review,2023-07-03 20:15:33
This is a complete scam! I want my refund now!,Negative,Online Store,2023-07-04 08:30:15
Worst experience ever! The app keeps crashing constantly.,Negative,App Review,2023-07-04 10:15:22
I'm so angry! Customer support never responds. Garbage service!,Negative,Twitter,2023-07-04 12:45:33
The product broke after one day. Total disaster and waste of money!,Negative,Amazon Reviews,2023-07-04 15:20:10
Horrible quality! This is the worst purchase I've ever made!,Negative,Online Review,2023-07-04 17:55:45
